what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.dltk.rse.core,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.core",1363874965919
started,bundle,org.eclipse.rse.core,3.1.100.v201003151933,"org.eclipse.rse.core",1363874965942
started,bundle,org.eclipse.rse.services,3.2.0.v201006041352,"org.eclipse.rse.services",1363874965980
started,bundle,org.eclipse.rse.ui,3.1.100.v201005282245,"org.eclipse.rse.ui",1363874995158
started,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1363874995159
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875021518
started,bundle,org.eclipse.jdt.core,3.6.0.v_A58,"org.eclipse.jdt.core",1363875021966
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1363875022138
started,bundle,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui",1363875022159
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875031932
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875037744
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1363875037781
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875042343
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875125343
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1363875125348
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875131018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875193388
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875200530
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875202292
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.edit.text.openLocalFile",1363875202315
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875215136
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875221842
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875223712
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875313734
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1363875313739
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1363875313739
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1363875314244
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875319132
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875333765
started,bundle,org.eclipse.wst.css.core,1.1.400.v201005261534,"org.eclipse.wst.css.core",1363875333841
started,bundle,org.eclipse.wst.xml.core,1.1.500.v201005271618,"org.eclipse.wst.xml.core",1363875333866
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1363875333869
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1363875333874
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1363875333880
started,bundle,org.eclipse.wst.common.frameworks,1.2.0.v201003040800,"org.eclipse.wst.common.frameworks",1363875334080
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20100524-0038,"org.eclipse.dltk.validators.core",1363875334081
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1363875334091
started,bundle,org.eclipse.wst.dtd.core,1.1.400.v201004290328,"org.eclipse.wst.dtd.core",1363875334092
started,bundle,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.ui",1363875334095
started,bundle,org.eclipse.wst.xsd.core,1.1.501.v201004110600,"org.eclipse.wst.xsd.core",1363875334102
started,bundle,org.eclipse.wst.xsl.core,1.1.0.v201004290328,"org.eclipse.wst.xsl.core",1363875334106
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1363875338171
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1363875338177
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1363875338261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875340708
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1363875424175
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1363875424747
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1363875424788
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1363875425558
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1363875425567
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1363875425814
started,bundle,org.eclipse.wst.common.emf,1.2.0.v201005200700,"org.eclipse.wst.common.emf",1363875425878
started,bundle,org.eclipse.jem.util,2.1.0.v201005130500,"org.eclipse.jem.util",1363875425882
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.0.v201004110600,"org.eclipse.wst.common.emfworkbench.integration",1363875425885
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1363875425906
started,bundle,org.eclipse.wst.common.modulecore,1.2.0.v201005200200,"org.eclipse.wst.common.modulecore",1363875425908
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875429244
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1363875429257
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.import",1363875429257
started,bundle,org.eclipse.wst.server.core,1.1.202.v20100518,"org.eclipse.wst.server.core",1363875429676
started,bundle,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.ui",1363875429702
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1363875429723
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1363875429738
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1363875443107
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875443175
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875445899
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1363875445901
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1363875445901
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875451052
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875459776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875467678
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875492196
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875498501
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875517056
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875523698
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875542195
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875545873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875550074
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1363875550115
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1363875550168
error,log,,,"Problems saving workspace",1363875551578
